uri,genre
spotify:artist:3KV3p5EY4AvKxOlhGHORLg,pop rap
spotify:artist:3KV3p5EY4AvKxOlhGHORLg,southern hip hop
spotify:artist:3KV3p5EY4AvKxOlhGHORLg,trap
spotify:artist:3KV3p5EY4AvKxOlhGHORLg,r&b
spotify:artist:3KV3p5EY4AvKxOlhGHORLg,chicago rap
spotify:artist:5WUlDfRSoLAfcVSX1WnrxN,pop
spotify:artist:4MIULe6tfg2loNzBy5B9eu,houston rap
spotify:artist:4MIULe6tfg2loNzBy5B9eu,viral trap
spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,pop
spotify:artist:0ZrpamOxcZybMHGg1AYtHP,urban contemporary
spotify:artist:0ZrpamOxcZybMHGg1AYtHP,pop rap
spotify:artist:0ZrpamOxcZybMHGg1AYtHP,dance pop
spotify:artist:0ZrpamOxcZybMHGg1AYtHP,r&b
spotify:artist:0ZrpamOxcZybMHGg1AYtHP,neo soul
spotify:artist:60d24wfXkVzDSfLS6hyCjZ,pop
spotify:artist:60d24wfXkVzDSfLS6hyCjZ,pop dance
spotify:artist:60d24wfXkVzDSfLS6hyCjZ,edm
spotify:artist:60d24wfXkVzDSfLS6hyCjZ,progressive house
spotify:artist:60d24wfXkVzDSfLS6hyCjZ,dutch edm
spotify:artist:23zg3TcAtWQy7J6upgbUnj,rap
spotify:artist:23zg3TcAtWQy7J6upgbUnj,pop
spotify:artist:23zg3TcAtWQy7J6upgbUnj,urban contemporary
spotify:artist:23zg3TcAtWQy7J6upgbUnj,dance pop
spotify:artist:23zg3TcAtWQy7J6upgbUnj,r&b
spotify:artist:23zg3TcAtWQy7J6upgbUnj,atl hip hop
spotify:artist:23zg3TcAtWQy7J6upgbUnj,contemporary r&b
spotify:artist:23zg3TcAtWQy7J6upgbUnj,south carolina hip hop
spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx,pop
spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx,post-teen pop
spotify:artist:13ubrt8QOOCPljQ2FL1Kca,hip hop
spotify:artist:13ubrt8QOOCPljQ2FL1Kca,rap
spotify:artist:13ubrt8QOOCPljQ2FL1Kca,east coast hip hop
spotify:artist:4sTQVOfp9vEMCemLw50sbu,pop
spotify:artist:4sTQVOfp9vEMCemLw50sbu,dance pop
spotify:artist:4sTQVOfp9vEMCemLw50sbu,pop dance
spotify:artist:4sTQVOfp9vEMCemLw50sbu,edm
spotify:artist:4sTQVOfp9vEMCemLw50sbu,progressive electro house
spotify:artist:4ScCswdRlyA23odg9thgIO,pop
spotify:artist:4ScCswdRlyA23odg9thgIO,dance pop
spotify:artist:4ScCswdRlyA23odg9thgIO,uk pop
spotify:artist:2wY79sveU1sp5g7SokKOiI,pop
spotify:artist:2wY79sveU1sp5g7SokKOiI,uk pop
spotify:artist:2qxJFvFYMEDqd7ui6kSAcq,pop
spotify:artist:2qxJFvFYMEDqd7ui6kSAcq,pop dance
spotify:artist:2qxJFvFYMEDqd7ui6kSAcq,edm
spotify:artist:2qxJFvFYMEDqd7ui6kSAcq,complextro
spotify:artist:2qxJFvFYMEDqd7ui6kSAcq,german techno
spotify:artist:1bj5GrcLom5gZFF5t949Xl,house
spotify:artist:1bj5GrcLom5gZFF5t949Xl,pop dance
spotify:artist:1bj5GrcLom5gZFF5t949Xl,edm
spotify:artist:1bj5GrcLom5gZFF5t949Xl,electro house
spotify:artist:1bj5GrcLom5gZFF5t949Xl,filter house
spotify:artist:1bj5GrcLom5gZFF5t949Xl,disco house
spotify:artist:1bj5GrcLom5gZFF5t949Xl,vocal house
spotify:artist:6M7RdR9ZP52h2mfNLmiHtU,pop dance
