duration_ms,explicit,name,popularity,uri,isrc
168253,False,Hoch,51,spotify:track:7gqefhSJfWyN1qQ2huvEze,DEE861902687
240600,False,Auf uns,59,spotify:track:6dXt4t5jgySnVTeTpT4C0l,DEUM71400465
164560,False,The One,51,spotify:track:6j0l7Hjt6qeDCQnYBZuJXY,DEUM72005099
138161,False,Love Makes You Shine,31,spotify:track:4EzOwxQW51kNkooXa0Ehh1,DEUM72118072
225147,False,Oh My Love,40,spotify:track:6mgv7r4zAVOhUG0qIxJRRl,DEUM71401359
189306,False,OK,52,spotify:track:32y9LSjv2Q49T3NnkETXCm,DEA621701135
170160,False,Shining Star,59,spotify:track:0RgcOUQg4qYAEt9RIdf3oB,USSM17400660
157066,False,Old Town Road - Remix,70,spotify:track:2YpeDb67231RjR0MgVLzsG,USSM11902498
235012,False,Fireball (feat. John Ryan),59,spotify:track:49eplIHvgCLY8HAgcaWrUb,USRC11401783
250173,True,1-800-273-8255,69,spotify:track:5tz69p7tJuGPeMGwNTxYuV,USUM71702778
295293,True,Pursuit Of Happiness (Nightmare),65,spotify:track:4kTLpAbhuEGHAAdDjOIWaa,USUM70981907
198440,False,Walking On A Dream,75,spotify:track:5r5cp9IpziiIsR6b93vcnQ,AUEI10800039
214960,True,Touch It,51,spotify:track:3HVJbdz0V402U5YggQK4Ao,USUM70505393
320186,True,What U Gon' Do,50,spotify:track:1bTphHXspys3RvvRxfzzIc,USTV10400212
196506,False,D.I.S.C.O. - Single Version,53,spotify:track:7KkdYJqxvq4ZFq9gvFy06v,FR58F7900100
269906,False,House of the Rising Sun,70,spotify:track:4mn2kNTqiGLwaUR8JdhJ1l,GBAYE6400209
177086,False,I Love Rock 'n' Roll,52,spotify:track:06qEGQMavekDfu9fVsFAMz,AUXN21741958
220636,False,Edge of Midnight (Midnight Sky Remix) (feat. Stevie Nicks),44,spotify:track:5l0nX3AhmmF717aKSs8qSH,USRC12003767
205593,True,Alarm,56,spotify:track:572xshmOviSGH70oPYMCZV,GBAHS1600223
303373,False,Mr. Blue Sky,74,spotify:track:2RlgNHKcydI9sayD2Df2xp,USSM17200399
267266,False,Englishman In New York,68,spotify:track:4KFM3A5QF2IMcc6nHsu3Wp,USAM18700040
264253,False,A Kind Of Magic - Remastered 2011,67,spotify:track:5RYLa5P4qweEAKq5U1gdcK,GBUM71029621
162053,True,Subwoofer,45,spotify:track:6zvjJxwWTuDnwbTmRziJI7,NL1AP2059038
137704,True,MONTERO (Call Me By Your Name),71,spotify:track:1SC5rEoYDGUK4NfG82494W,USSM12100531
