artist_uri,isrc
spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,USJMT1500001
spotify:artist:4STHEaNw4mPZ2tzheohgXB,USJMT1500001
spotify:artist:6nS5roXSAGhTGr34W6n7Et,GBUM71302810
spotify:artist:2wY79sveU1sp5g7SokKOiI,GBUM71302810
spotify:artist:4D75GcNG95ebPtNvoNVXhz,CYA221500045
spotify:artist:30ejUciK31BCg0IVCbt1dW,CYA221500045
spotify:artist:738wLrAtLtCtFOLvQBXOXp,QMUY41500013
spotify:artist:0X2BH1fck6amBIoJhDVmmJ,QMUY41500013
spotify:artist:4frHO7KPcfMjhnVdIMJ98c,QMUY41500013
spotify:artist:5he5w2lnU9x7JFhnwcekXX,USAT21104243
spotify:artist:3oAazIwC0nAYkOKVQPUC38,USAT21104243
spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z,CYA111500099
spotify:artist:5nki7yRhxgM509M5ADlN1p,CYA111500099
spotify:artist:5R3Hr2cnCCjt220Jmt2xLf,USSM11505214
spotify:artist:7CajNmpbOovFoOoasH2HaY,USSM11505214
spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai,FRZID0900480
spotify:artist:0fA0VVWsXO9YnASrzqfmYu,FRZID0900480
spotify:artist:5KnoVkIUGmK0PiDKMjz2LM,FRZ041500700
spotify:artist:3eSiyfI9xykA5QtgcLS43b,FRZ041500700
spotify:artist:1LOB7jTeEV14pHai6EXSzF,USAT21503994
spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,GBAYE1500980
spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,GBAYE0601438
spotify:artist:1rw8ZTLnDHd74TWDDukjVi,QMCE31500237
spotify:artist:6mPZJXtFVaakznkRxdgWtC,QMCE31500237
spotify:artist:7gn8FSibCqWvm96uubcEJk,DEA621501797
spotify:artist:3YQKmKGau1PzlVlkL1iodx,USAT21500597
spotify:artist:7AIhFHkc00F054w0fFEFWj,DEA621501614
spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx,USUM71508454
spotify:artist:13ubrt8QOOCPljQ2FL1Kca,USUM71508454
spotify:artist:0jnsk9HBra6NMjO2oANoPY,USAT21500395
spotify:artist:0ZrpamOxcZybMHGg1AYtHP,USAT21500395
spotify:artist:4tMJliVd96wXoMVNdcOBHp,USAT21500395
spotify:artist:4YXycRbyyAE0wozTk7QMEq,GBAYE1500988
spotify:artist:62DmErcU7dqZbJaDqwsqzR,GBAYE1500988
spotify:artist:67nwj3Y5sZQLl72VNUHEYE,GBAYE1500988
spotify:artist:5MouCg6ta7zAxsfMEbc1uh,USUS11500000
spotify:artist:0FOWNUFHPnMy0vOw1siGqi,CACA61500009
spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,CACA61500009
spotify:artist:7Hug1cPXobaYCxuRprxO5Q,CA5KR1509518
spotify:artist:5yePldMswAMD9fvIfRUc2o,CA5KR1509518
spotify:artist:0awl5piYwO0CDTHEkCjUhn,USWB11514710
spotify:artist:6KZDXtSj0SzGOV705nNeh3,USWB11514710
spotify:artist:64M6ah0SkkRsnPGtGiRAbb,USWB11514710
spotify:artist:1HxJeLhIuegM3KgvPn8sTa,USAT21503538
spotify:artist:5he5w2lnU9x7JFhnwcekXX,USAT21503538
spotify:artist:5fMUXHkw8R8eOP2RNVYEZX,USAT21503538
spotify:artist:2VAnyOxzJuSAj7XIuEOT38,USAT21503538
spotify:artist:6MDME20pz9RveH9rEXvrOM,USAT21503538
spotify:artist:5nLYd9ST4Cnwy6NHaCxbj8,USAT21503399
spotify:artist:23fqKkggKUBHNkbKtXEls4,SEBGA1500071
spotify:artist:48sLioddyaXkuhyHXSkpsB,SEBGA1500071
spotify:artist:1uNFoZAHBGtllmzznpCI3s,USUM71516761
spotify:artist:1IueXOQyABrMOprrzwQJWN,GBCEN1500481
spotify:artist:1Xylc3o4UrD53lo9CvFvVg,SEWEE1500801
spotify:artist:7uMh23xWiuR7zsNkuNcm2G,SEWEE1500801
spotify:artist:07YZf4WDAMNwqr4jfgOZ8y,USWB11503046
spotify:artist:6prmLEyn4LfHlD9NnXWlf7,USWB11514755
spotify:artist:7nVba98WXTSM3YKhwhqRdU,USWB11514755
spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,USUM71516960
spotify:artist:3t5xRXzsuZmMDkQzgOX35S,DEA621501883
spotify:artist:5z275L9haKWG328mm7UFd3,DEA621501883
spotify:artist:5PlfkPxwCpRRWQJBxCa0By,DEA621501883
spotify:artist:1AAfkmCFRTSDg18GQ3itgl,DEL711510182
spotify:artist:11QdxwAGVKkoLuarCX7L3N,DEL711510182
spotify:artist:1SWGyp2nxNSyQkRX1eqoUp,DEL711510182
spotify:artist:3n4VgeB7xQZrRGqMisjOu3,DEL711510182
spotify:artist:2e4uIDIIBXR0MmZe0AJGhR,DEUM71503732
spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,QM5FT1500006
spotify:artist:4WN5naL3ofxrVBgFpguzKo,GBAHS1500515
spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,GBAHS1500515
spotify:artist:3t5xRXzsuZmMDkQzgOX35S,GBAHS1500515
spotify:artist:2Tg0aF5cbZktYFzgR1iAKv,NOAGW1500658
spotify:artist:7KAGJwWQQui8b0uqwXRkSr,DEN061501470
spotify:artist:6tzKDtQMrplyQ6N6GMNeUr,DEN061501470
spotify:artist:7f5Zgnp2spUuuzKplmRkt7,NLF711403495
spotify:artist:6VuMaDnrHyPL1p4EHjYLi7,USAT21502703
spotify:artist:3t5xRXzsuZmMDkQzgOX35S,DEA621501130
spotify:artist:5EehXjjMktLuJmbRsM7YfB,DEA621501130
