,track_name,plays,first_played,last_played,days_between,days_played
211,Satellite,58,2020-09-18 17:28:38+00:00,2023-05-07 12:55:07+00:00,960,44
212,Vor Gericht,57,2016-06-02 20:15:22+00:00,2021-10-05 07:05:17+00:00,1950,43
213,Love is All,57,2018-12-13 15:56:05+00:00,2022-10-23 19:39:17+00:00,1410,35
214,Technology,57,2018-11-28 15:32:21+00:00,2022-12-19 11:01:41+00:00,1481,45
215,Let Me See That Ponytail Run,57,2019-11-25 14:43:50+00:00,2022-04-25 18:44:45+00:00,882,39
216,What AfD thinks we do...,57,2021-08-16 04:41:46+00:00,2022-08-02 10:35:14+00:00,351,40
217,Summer Breeze,57,2020-11-19 06:55:46+00:00,2023-04-22 12:52:20+00:00,884,38
218,Pot of Gold,57,2021-01-14 14:59:44+00:00,2023-04-12 10:49:30+00:00,817,39
219,7 Years,57,2016-05-11 17:59:57+00:00,2021-01-13 15:53:39+00:00,1707,28
220,The Three of Us,57,2021-04-28 06:45:46+00:00,2022-11-02 16:08:26+00:00,553,44
221,Break My Heart Again,56,2018-10-15 15:05:54+00:00,2022-05-24 14:33:00+00:00,1316,33
222,Make It Up As I Go (feat. K.Flay),56,2018-08-23 18:21:54+00:00,2022-01-12 16:08:17+00:00,1237,43
223,Embers,56,2018-03-19 09:39:00+00:00,2021-10-06 10:00:45+00:00,1297,27
224,Meine Kneipe,56,2017-11-19 17:04:33+00:00,2022-09-04 19:40:03+00:00,1750,33
225,Jackie And Wilson,56,2017-08-09 15:49:57+00:00,2022-02-15 18:59:53+00:00,1651,20
226,Mörder,55,2016-08-31 14:22:54+00:00,2022-02-15 19:02:15+00:00,1994,40
227,Herz über Kopf,55,2017-01-14 15:21:01+00:00,2022-04-21 12:51:00+00:00,1922,22
228,Dynamite,55,2019-09-15 11:58:06+00:00,2023-02-21 19:24:28+00:00,1255,48
229,Billionaire (feat. Bruno Mars),55,2019-09-15 12:26:01+00:00,2023-01-30 13:03:07+00:00,1233,46
230,Fall Into These Arms,55,2017-08-24 17:19:30+00:00,2021-12-02 05:51:51+00:00,1560,18
