,artist_name,plays,songs,var,std
241,Jason Mraz,39,1,,
242,Mayberg,39,2,40.5,6.363961030678928
243,Queen,38,1,,
244,Miami Yacine,38,2,2.0,1.4142135623730951
245,Wilhelmine,38,1,,
246,Masterplan,38,1,,
247,Wise Guys,38,6,35.06666666666668,5.921711464320655
248,Namika,37,1,,
249,Milow,37,1,,
250,Aliotta Haynes Jeremiah,37,1,,
251,G-Eazy,37,1,,
252,I DONT KNOW HOW BUT THEY FOUND ME,37,1,,
253,Paula Hartmann,36,1,,
254,Querox,36,1,,
255,Derik Fein,36,1,,
256,TJ_beastboy,36,2,128.0,11.313708498984761
257,Moop Mama,36,1,,
258,The Wanted,36,1,,
259,SDP,36,3,121.0,11.0
260,Red Hot Chili Peppers,36,3,301.0,17.349351572897472
261,baaskaT,35,1,,
262,Marsimoto,35,2,544.5,23.33452377915607
263,VoicePlay,35,1,,
264,Authority Zero,34,1,,
265,Sunset & Highland,34,1,,
266,Dardan,34,2,98.0,9.899494936611665
267,Anarbor,33,1,,
268,Ween,33,1,,
269,Julia Michaels,33,1,,
270,Daft Punk,33,1,,
271,Montreal,33,1,,
272,Esther Graf,33,1,,
273,Rixton,33,1,,
274,TimmyT,33,2,40.5,6.363961030678928
275,Ethan Surman,33,1,,
276,Seeed,33,2,84.5,9.192388155425117
277,Mar Malade,32,1,,
278,Sudden,32,1,,
279,Nic D,32,1,,
280,Janieck,32,1,,
281,zebrahead,31,2,60.5,7.7781745930520225
282,David Guetta,31,1,,
283,Luis Fonsi,31,1,,
284,L'aupaire,31,1,,
285,Black Eyed Peas,31,1,,
286,Nightcore,31,2,420.5,20.506096654409877
287,Format:B,31,1,,
288,JAY-Z,30,1,,
289,POORSTACY,30,1,,
290,Pilz,30,2,392.0,19.79898987322333
291,Bring Me The Horizon,29,2,12.5,3.5355339059327378
292,Diverseddie,29,1,,
293,Lil Peep,29,2,4.5,2.1213203435596424
294,Pohlmann.,29,1,,
295,Ólafur Arnalds,29,1,,
296,Sum 41,29,2,364.5,19.091883092036785
297,RIN,28,2,32.0,5.656854249492381
298,Jakey,28,2,338.0,18.384776310850235
299,Reuben Pearl,28,1,,
300,YRRRE,28,1,,
301,Juju,28,2,18.0,4.242640687119285
302,Meghan Trainor,28,1,,
303,Shaban,28,2,0.0,0.0
304,Cody Fry,28,2,338.0,18.384776310850235
305,Post Malone,28,2,8.0,2.8284271247461903
306,WILLOW,27,1,,
307,ok.danke.tschüss,27,1,,
308,Usher,27,1,,
309,Rascal Flatts,27,1,,
310,Kungs,27,1,,
311,Samra,27,1,,
312,Amos Milburn,27,1,,
313,Frédéric Chopin,26,2,18.0,4.242640687119285
314,KUMMER,26,2,18.0,4.242640687119285
315,il Civetto,26,1,,
316,upper class,26,1,,
317,Maxwell,26,2,18.0,4.242640687119285
318,Kontra K,26,2,8.0,2.8284271247461903
319,Doja Cat,25,2,12.5,3.5355339059327378
320,Rev Theory,25,1,,
321,"quickly, quickly",25,1,,
322,Street Dogs,25,1,,
323,Mikassa,25,1,,
324,Monolink,25,1,,
325,Betical,25,1,,
326,Eminem,25,1,,
327,Carly Rae Jepsen,25,1,,
328,Lambert,25,1,,
329,Aether,24,1,,
330,TAHA,24,1,,
331,Enrique Iglesias,24,2,162.0,12.727922061357855
332,Savvy,24,1,,
333,Sinan-G,24,1,,
334,Gloria Gaynor,24,1,,
335,Beginner,24,1,,
336,Mr. Cool Guy Producer Guy,24,1,,
337,Sugi.wa,23,2,24.5,4.949747468305833
338,Thomas Newman,23,1,,
339,will.i.am,23,1,,
340,League of Legends,23,2,0.5,0.7071067811865476
341,Edo Lee,23,1,,
342,Paramore,23,1,,
343,Justus Bennetts,23,1,,
344,Knowmadic,23,2,4.5,2.1213203435596424
345,Kurdo,23,2,220.5,14.849242404917497
346,Cloudchord,23,2,4.5,2.1213203435596424
347,Gyvus,22,2,50.0,7.0710678118654755
348,LIL DUSTY G,22,1,,
349,Rikas,22,1,,
350,Luke Winslow-King,22,1,,
351,Mumford & Sons,22,1,,
352,Mouyé,22,1,,
353,Fler,22,1,,
354,LILLE,22,1,,
355,Evang,21,1,,
356,Jaya The Cat,21,1,,
357,Lady Gaga,21,2,144.5,12.020815280171307
358,Annie Chops,21,1,,
359,Heinz Rudolf Kunze,21,1,,
360,Caleb Belkin,21,3,76.0,8.717797887081348
361,j'san,20,1,,
362,Azet,20,2,18.0,4.242640687119285
363,Dazzle,20,1,,
364,Tujamo,20,1,,
365,Daði Freyr,20,1,,
366,Clean Bandit,20,1,,
367,Twilight Force,20,1,,
368,Jinsang,20,2,0.0,0.0
369,Kräuterbeet,20,2,0.0,0.0
370,Team Avantgarde,20,1,,
371,Frank Sinatra,20,3,24.333333333333332,4.932882862316247
372,RudeManners,20,1,,
373,James Bay,20,2,8.0,2.8284271247461903
374,Avril Lavigne,19,1,,
375,MIKA,19,1,,
376,Madeline Juno,19,1,,
377,Juice WRLD,19,1,,
378,SYML,19,1,,
379,Goodg,19,1,,
380,Logan Dias,19,1,,
381,dieserBuddha,19,1,,
382,Eli,19,1,,
383,Jonas Monar,19,1,,
384,Tones And I,18,1,,
385,Ferdinand fka Left Boy,18,1,,
386,Social House,18,1,,
387,Shindy,18,1,,
388,SXTN,18,1,,
389,Russ,18,1,,
390,Cage The Elephant,18,1,,
391,Lennon Stella,18,1,,
392,Travis Scott,17,1,,
393,BHZ,17,2,112.5,10.606601717798213
394,Carlos Cipa,17,1,,
395,Nix Northwest,17,1,,
396,Christin Nichols,17,1,,
397,Iggy,17,1,,
398,Skipper,17,1,,
399,Teddy Teclebrhan,17,1,,
400,Paul Anka,17,2,112.5,10.606601717798213
401,Jess Glynne,17,1,,
402,Claire Rosinkranz,17,1,,
403,Jason Derulo,17,2,84.5,9.192388155425117
404,A Tribe Called Quest,16,1,,
405,Asaf Avidan,16,1,,
406,futurebae,16,1,,
407,Farjus,16,1,,
408,Stand Atlantic,16,1,,
409,Philanthrope,16,2,18.0,4.242640687119285
410,Johnny Diggson,16,1,,
411,Fall Out Boy,16,1,,
412,Eva Cassidy,16,2,98.0,9.899494936611665
413,SiR,15,1,,
414,Tom Thaler & Basil,15,1,,
415,SLF,15,1,,
416,Banda Magda,15,1,,
417,OTPendia,15,1,,
418,50 Cent,15,1,,
419,Vance Joy,15,1,,
420,Tame Impala,15,1,,
421,Kraftklub,15,1,,
422,SHINSKY x DIMA,15,1,,
423,KASIMIR1441,15,1,,
424,Hippie Sabotage,15,1,,
425,Glass Animals,14,1,,
426,The Anaconda Vampire Bats,14,1,,
427,Projekt,14,1,,
428,Udo Lindenberg & Das Panik-Orchester,14,1,,
429,OK KID,14,1,,
430,KAFFKIEZ,14,2,72.0,8.48528137423857
431,Ethan Bortnick,14,1,,
432,Lous and The Yakuza,14,1,,
433,Fynn Kliemann,14,2,50.0,7.0710678118654755
434,Elliot Moss,14,1,,
435,Shy Cope,14,1,,
436,AK AUSSERKONTROLLE,14,1,,
437,Die Prinzen,14,4,25.0,5.0
438,Mura Masa,14,1,,
439,Calyx & TeeBee,14,1,,
440,Ryan Mack,14,1,,
441,The Decline,14,1,,
442,Udo Jürgens,14,1,,
443,Rojas,14,1,,
444,Billy Ocean,14,1,,
445,Mefjus,14,1,,
446,Quvenzhané Wallis,14,1,,
447,Antje Schomaker,14,1,,
448,The Holy Santa Barbara,14,1,,
449,Summer Cem,14,1,,
450,KANA-BOON,14,1,,
451,Kollegah,13,2,60.5,7.7781745930520225
452,Omah Lay,13,1,,
453,Sterling Hudson,13,1,,
454,Felix Jaehn,13,1,,
455,Wanda,13,1,,
456,The Offspring,13,1,,
457,Benjie,13,1,,
458,Bombs Away,13,1,,
459,Laruzo,13,1,,
460,chief.,13,1,,
461,Wun Two,13,1,,
462,Elton John,13,1,,
463,Guacáyo,13,1,,
464,Big Shaq,13,1,,
465,Sportfreunde Stiller,13,1,,
466,Marshmello,13,1,,
467,Peter Schilling,13,1,,
468,Thomas Bergersen,12,2,50.0,7.0710678118654755
469,A*S*Y*S,12,1,,
470,Fruchtmax,12,1,,
471,Simple Creatures,12,1,,
472,Ghost Rider,12,1,,
473,Billy Talent,12,1,,
474,Crystal F,12,1,,
475,Freak Kill,12,1,,
476,easy life,12,1,,
477,Beyoncé,12,2,50.0,7.0710678118654755
478,Ramones,12,1,,
479,DJ Gollum,12,1,,
480,wavvyboi,12,1,,
481,Barnes Blvd.,12,1,,
482,Green Day,12,1,,
483,Veysel,12,1,,
484,morten,12,1,,
485,Saweetie,12,1,,
486,Justin Hawkes,12,1,,
487,EARGASM GOD,12,1,,
488,Saiya Tiaw,11,1,,
489,Franz Schubert,11,1,,
490,SWEED,11,1,,
491,Seneca B,11,2,24.5,4.949747468305833
492,Zayion McCall,11,1,,
493,Juicy Süß,11,1,,
494,The Flatliners,11,1,,
495,Joe Corfield,11,1,,
496,Surfbort,11,1,,
497,James TW,11,1,,
498,Action Bronson,11,1,,
499,Clinton Kane,11,1,,
500,French Montana,11,1,,
501,HM Surf,11,2,40.5,6.363961030678928
502,Måneskin,11,1,,
503,Alice Merton,11,1,,
504,Buena Vista Social Club,11,1,,
505,The Warning,11,1,,
506,Lofi Fruits Music,11,9,0.19444444444444442,0.4409585518440984
