uri,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
spotify:track:0n2uyQNCK59Xf9GjC8YSor,0.434,0.553,209440,0.824,0.0,3,0.0801,-4.399,1,0.0589,117.955,4,0.508
spotify:track:4JIYhVDT2AWqNaWmAZr1id,0.456,0.658,164710,0.46,0.00111,6,0.0963,-8.646,0,0.0444,114.801,4,0.223
spotify:track:0CuQKW9YZZA3vcnfpKLCSj,0.542,0.404,351640,0.664,0.00402,1,0.11,-6.698,1,0.0407,107.747,4,0.0949
spotify:track:6VXpPeE3e5KGVQJuYednVS,0.539,0.333,295569,0.389,0.0772,7,0.163,-9.132,1,0.0364,144.204,4,0.25
spotify:track:2Q4LPFmpHNY8c8gEkaM9yy,0.604,0.504,264066,0.655,0.00193,0,0.364,-8.644,0,0.0542,99.982,4,0.262
spotify:track:1rfofaqEpACxVEHIZBJe6W,0.184,0.765,217307,0.523,3.56e-05,2,0.132,-4.333,1,0.03,104.988,4,0.394
spotify:track:3QftqIoFrzYaEOGrQdjWe7,0.00261,0.764,212000,0.718,1.11e-05,9,0.113,-5.18,0,0.0703,116.01,4,0.596
spotify:track:0puf9yIluy9W0vpMEUoAnN,0.26,0.706,199387,0.786,0.0,0,0.38,-3.417,0,0.091,150.028,4,0.751
spotify:track:2y4lAQpi5VTNLu2ldeTdUH,0.00882,0.613,231240,0.622,0.0,1,0.37,-5.794,0,0.0334,80.003,4,0.484
spotify:track:4OafepJy2teCjYJbvFE60J,0.0211,0.568,198160,0.656,1.37e-05,8,0.213,-5.413,1,0.0433,100.049,4,0.364
spotify:track:7vu0JkJh0ldukEYbTVcqd0,0.401,0.728,176320,0.415,0.0,8,0.0616,-6.852,1,0.0639,114.145,4,0.455
spotify:track:4Pbg79cTBu4vgSphoyNq3j,0.0372,0.697,186987,0.683,0.0,1,0.137,-2.881,0,0.117,96.133,4,0.603
spotify:track:2MfOcbtgz2yTsiznFmVZUN,0.272,0.508,261640,0.72,0.0,11,0.0563,-5.908,0,0.0628,79.983,4,0.472
spotify:track:41Fflg7qHiVOD6dEPvsCzO,0.063,0.884,224573,0.765,7.04e-06,8,0.118,-3.865,1,0.0882,99.987,4,0.594
spotify:track:36phXHOKx8rO7CMp2vNX4x,0.0026,0.617,218773,0.759,0.0,0,0.419,-6.785,0,0.0678,122.924,4,0.324
spotify:track:6NFyWDv5CjfwuzoCkw47Xf,0.216,0.75,232253,0.404,0.000357,9,0.0911,-10.178,0,0.0682,95.045,4,0.0499
spotify:track:04ZTP5KsCypmtCmQg5tH9R,0.00281,0.63,195519,0.694,0.0,11,0.0719,-6.257,0,0.0253,97.005,4,0.216
spotify:track:2hgzdQdnfWwtdpZbhZlV72,0.0472,0.757,218235,0.678,9.14e-06,8,0.0654,-5.529,0,0.233,120.075,4,0.82
spotify:track:3zHq9ouUJQFQRf3cm1rRLu,0.247,0.262,252534,0.606,0.0,8,0.125,-6.646,1,0.0484,189.857,4,0.275
spotify:track:563SfWAHJs4FBZMkRN0IFN,0.0355,0.688,223079,0.533,3.48e-06,6,0.172,-8.363,0,0.0865,164.069,4,0.567
spotify:track:7GbqE3MlkKosIaCvf50JRK,0.0144,0.76,264893,0.801,1.49e-05,5,0.665,-3.769,1,0.0534,109.919,4,0.653
spotify:track:2dLLR6qlu5UJ5gk0dKz0h3,0.12,0.674,190185,0.426,0.0,7,0.132,-9.504,1,0.122,84.876,4,0.337
spotify:track:7d1CFwrBmH34gmS0Hkbfbt,0.0416,0.688,209187,0.723,0.0002,6,0.302,-6.682,0,0.121,140.023,4,0.618
spotify:track:3D4uUFRoYDFHbkQlTKL2Om,0.211,0.618,226720,0.695,3.96e-05,7,0.11,-5.415,1,0.189,199.95,3,0.766
spotify:track:1UZOjK1BwmwWU14Erba9CZ,0.0767,0.573,231907,0.781,2.64e-05,8,0.0813,-6.406,1,0.0555,139.934,4,0.343
spotify:track:6FRLCMO5TUHTexlWo8ym1W,0.566,0.779,235545,0.541,0.0,0,0.13,-6.824,1,0.0658,124.939,4,0.447
spotify:track:2hTcD5aTYlQoTT76KofQam,0.913,0.601,229029,0.126,1.05e-06,9,0.148,-9.403,1,0.0379,119.916,4,0.348
spotify:track:376Gg7Oxo5C5jUWDWpVXeI,0.555,0.714,200600,0.519,0.0,7,0.0993,-7.472,1,0.0772,88.017,4,0.451
spotify:track:4By48hpAtUx7F7F1yxvwvm,0.475,0.697,202600,0.568,2.51e-05,5,0.0922,-8.017,1,0.0369,153.931,4,0.502
spotify:track:0sguop6x3D6B21kLVL7RUR,0.399,0.796,231272,0.666,0.0,5,0.238,-4.848,0,0.0409,97.986,4,0.753
spotify:track:65ACnVMmePTp8Xdk11jP2y,0.203,0.792,199053,0.428,0.0,4,0.15,-6.931,1,0.0676,112.075,4,0.501
spotify:track:6SEBdRAW54AFwa8spgf0Ws,0.134,0.653,216931,0.555,2.1e-05,9,0.09,-6.656,1,0.0322,103.038,4,0.0972
spotify:track:6kPJZM97LwdG9QIsT7khp6,0.0441,0.737,222653,0.636,6.66e-05,11,0.35,-4.546,0,0.0437,105.005,4,0.565
spotify:track:052xyncfeyzYbAh9C57eil,0.157,0.354,191164,0.836,0.0,1,0.19,-4.342,0,0.199,108.26,4,0.517
spotify:track:58q2HKrzhC3ozto2nDdN4z,0.099,0.816,253390,0.726,0.0,5,0.372,-3.998,0,0.129,136.048,4,0.65
spotify:track:7BVla5SeUZAVZqgY1jhrIJ,0.239,0.841,206550,0.47,1.64e-06,8,0.0639,-7.624,0,0.0552,100.114,4,0.549
spotify:track:5WvAo7DNuPRmk4APhdPzi8,0.0733,0.552,260000,0.76,0.0,0,0.0865,-4.706,1,0.342,135.702,5,0.639
spotify:track:6qynl60zV0oHvGY57xXaG1,0.0623,0.598,159600,0.764,0.00302,4,0.387,-6.289,0,0.0592,200.042,4,0.669
spotify:track:30sQrQCMLQcwW6YiAGL9e4,0.00397,0.616,187859,0.816,0.0,6,0.099,-4.916,0,0.0354,100.018,4,0.388
spotify:track:2Rl7eTc2aCUte9eVEvi4Ce,0.0221,0.773,212000,0.519,2.54e-05,0,0.158,-10.272,0,0.0487,104.918,4,0.28
spotify:track:5eZVN1Py8xrNtmz53h8cmu,0.0047,0.708,178286,0.708,0.0,9,0.132,-6.984,1,0.0371,105.001,4,0.539
spotify:track:3nc420PXjTdBV5TN0gCFkS,0.584,0.506,216420,0.693,9.58e-05,0,0.0891,-7.265,0,0.0412,139.912,4,0.221
spotify:track:0n2zq2hddMskLBZOV5fOTn,0.16,0.78,198360,0.484,0.0,7,0.0697,-8.472,0,0.104,104.936,4,0.473
spotify:track:4Mtr11mM9OevzTi68GWozM,0.596,0.542,200429,0.502,0.0,9,0.0994,-10.465,1,0.0703,140.137,3,0.454
spotify:track:71IEpGD42ZHfZkNh9JOESL,0.02,0.651,175432,0.641,0.0,7,0.0772,-6.848,1,0.074,103.959,4,0.494
