,duration_ms_x,explicit,name,popularity,uri,orig_uri,isrc,acousticness,danceability,duration_ms_y,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
31,201520,False,Where’s My Love - Duet,36,spotify:track:3OYS0HPiHEVihL5p5R5hS3,spotify:track:3XIDahvnAcQmiQnoUCOsRx,CAN111700572,0.653,0.56,201520,0.536,0.0072,0,0.155,-9.396,0,0.0293,104.967,4,0.297
32,182805,False,It'll Work Itself Out,43,spotify:track:1S0VsP2UnnOudyXtzwkVNE,spotify:track:2u6SXgdzFNTQLc4LcSi3Vd,CAX1M1610003,0.115,0.623,182806,0.42,0.0027,10,0.0994,-12.611,1,0.031,98.017,4,0.504
33,243466,False,Pieces,9,spotify:track:6XdCTA39u0HSocOo0uKxAx,spotify:track:6MeoyBCjOe5XcyS79Bg7vo,SE3OH1516670,0.546,0.595,243467,0.594,0.101,8,0.0847,-11.946,1,0.0266,105.023,4,0.364
34,214386,False,"Guardian Angel, You Can Go Now",14,spotify:track:2DNqjHRbZSmYDnXUMM3huw,spotify:track:7kqZ2JmRcsAoEzCjqSPxcM,CAN111700195,0.935,0.3,214387,0.0987,0.322,0,0.119,-17.017,1,0.0317,179.704,4,0.302
35,163552,False,World of Blue,5,spotify:track:6ZZsbI9qn2FWwWuZkeHocS,spotify:track:6ZZsbI9qn2FWwWuZkeHocS,ushm81772899,0.773,0.837,163552,0.216,0.359,0,0.109,-16.26,1,0.0512,128.924,4,0.834
36,210093,False,Stop It - Stripped,25,spotify:track:3uAsDqI2xJk6rbel3nwujs,spotify:track:4G8hcrkEmz5e1mUKDUNvLJ,GBKPL1790222,0.645,0.546,210094,0.347,0.000525,8,0.0716,-11.055,1,0.0286,138.077,4,0.378
37,219601,False,Throw Me in the Water,39,spotify:track:3N1ZR4B6JGuwt8YiQH22S0,spotify:track:1xHOhfFSFPzu1XT99RyjHK,CAN111700502,0.0204,0.569,219601,0.728,0.0048,0,0.311,-7.468,1,0.0488,138.038,4,0.377
38,236617,False,Burn Bright,3,spotify:track:4Dmw4aHlwx1lnMcXihlih1,spotify:track:4Dmw4aHlwx1lnMcXihlih1,CAR1Q1400007,0.236,0.637,236617,0.547,0.16,2,0.134,-8.264,1,0.0272,99.993,4,0.401
39,206200,False,Red Bow,3,spotify:track:5puvzPuzUqMoNwqDoknTzM,spotify:track:5puvzPuzUqMoNwqDoknTzM,QZ9531700003,0.0903,0.36,206200,0.548,4.14e-05,8,0.165,-6.396,1,0.0413,118.973,4,0.263
40,215413,False,Man Overboard,43,spotify:track:2WMF5i6ClS9GEeM34MHEji,spotify:track:2WMF5i6ClS9GEeM34MHEji,QZ9Y21751383,0.702,0.467,215413,0.276,0.148,3,0.12,-14.288,1,0.0412,97.071,4,0.222
41,161082,False,Landslide,27,spotify:track:5wTlERh8nu1KbQ33bl6Pln,spotify:track:2b8KbSuF8V1CaszcGbArab,GBLFP1750477,0.816,0.651,161083,0.497,0.000398,0,0.106,-10.329,1,0.0299,117.092,4,0.403
42,227741,False,Golden October,21,spotify:track:2tVmNMAQr3ppI0z3M0242w,spotify:track:5FIuOFJccj4q7OwOtXwYN7,DEZ651715086,0.722,0.444,227741,0.3,0.000152,6,0.167,-9.859,1,0.0331,115.788,3,0.235
43,207943,False,Lost,2,spotify:track:29PQWh4PshBWD3SukkQSwb,spotify:track:29PQWh4PshBWD3SukkQSwb,QZ9SA1700003,0.000455,0.542,207944,0.593,0.00566,7,0.107,-7.049,1,0.0289,109.934,4,0.039
44,279477,False,Pictures,6,spotify:track:2B0HrcxGa5bYwYKUgiqfek,spotify:track:0fLXAZvxJUxVNQ8Bcw9EAE,GBLFP1780466,0.853,0.565,279477,0.242,2.64e-05,1,0.0904,-12.983,1,0.0324,152.977,4,0.419
45,234482,False,Lighter,17,spotify:track:7l4nryGdkXCe6xcSfDgewe,spotify:track:1XNIqAZSjRsiuVROHvoKxh,NLN8R1600008,0.871,0.593,234483,0.463,0.0272,0,0.0962,-8.347,1,0.0321,101.979,4,0.166
46,231593,False,Stranger,32,spotify:track:0No1Mcz6DJ9HlPAICTqI2v,spotify:track:0No1Mcz6DJ9HlPAICTqI2v,TCADI1731852,0.0334,0.646,231593,0.561,0.0,9,0.0802,-8.047,0,0.0559,95.002,3,0.452
47,196080,False,Some Unholy War - Down Tempo,47,spotify:track:5OlM5krdWS4ivOGVz3X8c0,spotify:track:5OlM5krdWS4ivOGVz3X8c0,GBUM70709182,0.493,0.54,196080,0.505,8.97e-05,5,0.0893,-8.325,1,0.0347,78.188,3,0.27
48,186440,True,Tears Dry On Their Own,75,spotify:track:7MDfN1ldfTMtuXXdVz2Pzc,spotify:track:7MDfN1ldfTMtuXXdVz2Pzc,GBUM70603494,0.525,0.634,186440,0.543,0.0,1,0.232,-13.391,0,0.182,121.56,4,0.468
49,176320,False,Monkey Man,49,spotify:track:52fqquVYihRW17ySEcy5mA,spotify:track:52fqquVYihRW17ySEcy5mA,GBUM70607203,0.236,0.612,176320,0.852,0.0,10,0.102,-2.83,1,0.0713,146.561,4,0.923
50,262813,False,Will You Still Love Me Tomorrow? - 2011,63,spotify:track:0LbK1bodGLc9xmV1cS9jvL,spotify:track:5TiDasAFs5gwEx52NEcDhs,GBUM71110028,0.161,0.587,262813,0.624,0.000191,0,0.118,-4.657,1,0.025,93.428,4,0.251
51,233733,False,"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007",75,spotify:track:6nLvaCZFR1wEzW3sIKpsnr,spotify:track:6nLvaCZFR1wEzW3sIKpsnr,GBUM70702678,0.745,0.772,233733,0.371,0.0,5,0.167,-5.743,0,0.0348,96.574,4,0.684
52,153413,False,You're Wondering Now,48,spotify:track:7ee1XEOzZgzTQWNaiHZvKY,spotify:track:7ee1XEOzZgzTQWNaiHZvKY,GBUM70706267,0.0693,0.784,153413,0.567,0.0,0,0.161,-4.767,1,0.179,133.89,4,0.917
53,155413,False,Love Is A Losing Game,69,spotify:track:3uliGwmB52ZA7brgpZMzyH,spotify:track:3uliGwmB52ZA7brgpZMzyH,GBUM70603489,0.34,0.484,155413,0.294,0.00609,0,0.146,-16.544,1,0.031,165.007,4,0.562
54,169373,False,Our Day Will Come,65,spotify:track:4NDpn6yfD5aqafYWFEaJDz,spotify:track:2Arl7cRrFiuDiHQjdMEXOU,GBUM71110106,0.0405,0.705,169373,0.634,3.53e-05,5,0.349,-6.083,0,0.0282,98.008,4,0.639
55,241293,True,Back To Black,82,spotify:track:3FAclTFfvUuQYnEsptbK8w,spotify:track:2s4BsyV3KhhrtsdtNfzoqb,GBUM70604698,0.134,0.434,241293,0.422,2.05e-05,7,0.0861,-13.964,0,0.0375,123.201,4,0.377
56,257186,False,You Know I'm No Good,73,spotify:track:0DMRKqrpd0QO4RWiEdMib0,spotify:track:4SyowQi18ym4zJGJDBnsTj,GBUM70603488,0.0137,0.694,257187,0.495,0.00351,9,0.0644,-14.222,1,0.0329,103.375,4,0.799
57,214493,False,Stronger Than Me,67,spotify:track:5LC7nItIEFp4nzdFdEGbf9,spotify:track:0HvrW09sl0aoAEmlIcZ9s6,GBAAN0300358,0.0401,0.883,214493,0.458,0.000419,9,0.0603,-6.801,0,0.0411,91.425,4,0.816
58,204760,False,Wir Sind Groß,53,spotify:track:7AraSdlKIOoPCLRKkI3WjP,spotify:track:7AraSdlKIOoPCLRKkI3WjP,DEQ321600034,0.638,0.624,204760,0.687,0.0,7,0.112,-6.403,0,0.172,86.038,4,0.407
59,117840,False,From Me To You,36,spotify:track:27jecBSosDFnuTM3cbdkDb,spotify:track:4XyrKa4r49DjoF9qeaueFw,SEVVQ1300301,0.963,0.482,117840,0.143,9.05e-05,5,0.107,-11.103,1,0.0429,151.835,3,0.449
