uri,genre
spotify:artist:6gUiIIPmV6OXjHcvv1KCuL,indie pop
spotify:artist:0du5cEVh5yTK9QJze8zA0C,dance pop
spotify:artist:0du5cEVh5yTK9QJze8zA0C,pop
spotify:artist:4M5nCE77Qaxayuhp3fVn4V,indie folk
spotify:artist:4M5nCE77Qaxayuhp3fVn4V,chamber pop
spotify:artist:4M5nCE77Qaxayuhp3fVn4V,acoustic pop
spotify:artist:4M5nCE77Qaxayuhp3fVn4V,indie rock
spotify:artist:4M5nCE77Qaxayuhp3fVn4V,stomp and holler
spotify:artist:6xYBLeSMu1AqPsnUzEvx5n,deep acoustic pop
spotify:artist:6xYBLeSMu1AqPsnUzEvx5n,ann arbor indie
spotify:artist:6G8Vv979uOK1e7ZBIX2rzp,tropical house
spotify:artist:6G8Vv979uOK1e7ZBIX2rzp,chill house
spotify:artist:5CiGnKThu5ctn9pBxv7DGa,pop
spotify:artist:26VFTg2z8YR0cCuwLzESi2,pop
spotify:artist:26VFTg2z8YR0cCuwLzESi2,electropop
spotify:artist:26VFTg2z8YR0cCuwLzESi2,etherpop
spotify:artist:26VFTg2z8YR0cCuwLzESi2,indie poptimism
spotify:artist:6LuN9FCkKOj5PcnpouEgny,pop
spotify:artist:6LuN9FCkKOj5PcnpouEgny,pop r&b
spotify:artist:12rBrcOPP50qIan8ew4iTP,tropical house
spotify:artist:7kXDaUD3imvM6el5qK6tAu,gaming edm
spotify:artist:7kXDaUD3imvM6el5qK6tAu,la pop
spotify:artist:0FBRY66KVaAiddGVefikLB,uk dance
spotify:artist:0FBRY66KVaAiddGVefikLB,house
spotify:artist:0FBRY66KVaAiddGVefikLB,uk house
spotify:artist:0FBRY66KVaAiddGVefikLB,tech house
spotify:artist:4VNQWV2y1E97Eqo2D5UTjx,pop dance
spotify:artist:4VNQWV2y1E97Eqo2D5UTjx,uk dance
spotify:artist:4VNQWV2y1E97Eqo2D5UTjx,house
spotify:artist:4VNQWV2y1E97Eqo2D5UTjx,future garage
spotify:artist:3OsEdeMsQIAdDi2OduzED7,funky tech house
spotify:artist:30ina345sj5zikGmmLsTTI,progressive psytrance
spotify:artist:00FQb4jTyendYWaN8pK0wa,pop
spotify:artist:00FQb4jTyendYWaN8pK0wa,art pop
spotify:artist:7qDUWeBzKcDnh15yhYBf2U,broadway
spotify:artist:7FDlvgcodNfC0IBdWevl4u,indie folk
spotify:artist:7FDlvgcodNfC0IBdWevl4u,indie anthem-folk
spotify:artist:7FDlvgcodNfC0IBdWevl4u,chamber pop
spotify:artist:7FDlvgcodNfC0IBdWevl4u,stomp and holler
spotify:artist:7FDlvgcodNfC0IBdWevl4u,irish singer-songwriter
spotify:artist:7bcbShaqKdcyjnmv4Ix8j6,metropopolis
spotify:artist:7bcbShaqKdcyjnmv4Ix8j6,indie rock
spotify:artist:7bcbShaqKdcyjnmv4Ix8j6,etherpop
spotify:artist:7bcbShaqKdcyjnmv4Ix8j6,art pop
spotify:artist:7bcbShaqKdcyjnmv4Ix8j6,indietronica
spotify:artist:7bcbShaqKdcyjnmv4Ix8j6,neo-synthpop
spotify:artist:6CWTBjOJK75cTE8Xv8u1kj,canadian pop
spotify:artist:6CWTBjOJK75cTE8Xv8u1kj,chamber pop
spotify:artist:6CWTBjOJK75cTE8Xv8u1kj,indie pop
spotify:artist:6CWTBjOJK75cTE8Xv8u1kj,indie rock
spotify:artist:6CWTBjOJK75cTE8Xv8u1kj,art pop
spotify:artist:6CWTBjOJK75cTE8Xv8u1kj,canadian indie
spotify:artist:3VRM1YrnVyEAKYl255Hu5r,german soundtrack
spotify:artist:7oPftvlwr6VrsViSDV7fJY,modern rock
spotify:artist:7oPftvlwr6VrsViSDV7fJY,rock
spotify:artist:7oPftvlwr6VrsViSDV7fJY,permanent wave
spotify:artist:7oPftvlwr6VrsViSDV7fJY,punk
spotify:artist:26VoPCfOpSe5L7kpskenXy,north alabama indie
spotify:artist:14Gi3Uph96lpNB3utkoVAD,britpop
spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,pop
spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,canadian pop
spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,canadian contemporary r&b
spotify:artist:4nDoRrQiYLoBzwC5BhVJzF,dance pop
spotify:artist:4nDoRrQiYLoBzwC5BhVJzF,pop
spotify:artist:50co4Is1HCEo8bhOyUWKpn,rap
spotify:artist:50co4Is1HCEo8bhOyUWKpn,trap
spotify:artist:50co4Is1HCEo8bhOyUWKpn,atl hip hop
spotify:artist:50co4Is1HCEo8bhOyUWKpn,atl trap
spotify:artist:50co4Is1HCEo8bhOyUWKpn,gangster rap
spotify:artist:50co4Is1HCEo8bhOyUWKpn,melodic rap
spotify:artist:2gsggkzM5R49q6jpPvazou,dance pop
spotify:artist:2gsggkzM5R49q6jpPvazou,pop
spotify:artist:0hCNtLu0JehylgoiP8L4Gh,pop
spotify:artist:0hCNtLu0JehylgoiP8L4Gh,rap
spotify:artist:0hCNtLu0JehylgoiP8L4Gh,hip pop
spotify:artist:0hCNtLu0JehylgoiP8L4Gh,queens hip hop
spotify:artist:5YGY8feqx7naU7z4HrwZM6,pop
spotify:artist:0ZED1XzwlLHW4ZaG4lOT6m,pop
spotify:artist:6vWDO969PvNqNYHIOW5v0m,pop
spotify:artist:6vWDO969PvNqNYHIOW5v0m,r&b
spotify:artist:1l8Fu6IkuTP0U5QetQJ5Xt,pop
spotify:artist:1l8Fu6IkuTP0U5QetQJ5Xt,talent show
spotify:artist:1l8Fu6IkuTP0U5QetQJ5Xt,girl group
spotify:artist:6KZDXtSj0SzGOV705nNeh3,pop rap
spotify:artist:6KZDXtSj0SzGOV705nNeh3,rap
spotify:artist:6KZDXtSj0SzGOV705nNeh3,southern hip hop
spotify:artist:6KZDXtSj0SzGOV705nNeh3,trap
spotify:artist:5p7f24Rk5HkUZsaS3BLG5F,pop
spotify:artist:06HL4z0CvFAxyc27GXpf02,pop
spotify:artist:2DlGxzQSjYe5N6G9nkYghR,dance pop
spotify:artist:2DlGxzQSjYe5N6G9nkYghR,pop
spotify:artist:2DlGxzQSjYe5N6G9nkYghR,urban contemporary
spotify:artist:0X2BH1fck6amBIoJhDVmmJ,pop
spotify:artist:0X2BH1fck6amBIoJhDVmmJ,uk pop
spotify:artist:0X2BH1fck6amBIoJhDVmmJ,metropopolis
spotify:artist:0X2BH1fck6amBIoJhDVmmJ,indietronica
spotify:artist:4dpARuHxo51G3z768sgnrY,pop
