duration_ms,explicit,name,popularity,uri,orig_uri,isrc
144426,False,if we never met,55,spotify:track:5HBDBBr5OV90lubqW8ctJF,spotify:track:5HBDBBr5OV90lubqW8ctJF,USSM11902691
240133,False,Falling,79,spotify:track:1ZMiCix7XSAbfAJlEZWMCp,spotify:track:1ZMiCix7XSAbfAJlEZWMCp,USSM11912590
208840,False,Deep End,47,spotify:track:1Q20Gnejuxeip0jRdhwHSa,spotify:track:1Q20Gnejuxeip0jRdhwHSa,GBAHS1600022
225853,False,Lost Without You,53,spotify:track:3C5J4wBnhT2O8oqwXdaSxQ,spotify:track:3C5J4wBnhT2O8oqwXdaSxQ,UK8E21701401
178026,True,Deeper,51,spotify:track:7uwpgQQufpSsFIhhGJDHQF,spotify:track:7uwpgQQufpSsFIhhGJDHQF,USUM72013566
195079,False,Don't Leave Me Now,40,spotify:track:6IGUOL3K7tJdFNvLuFFpIW,spotify:track:6IGUOL3K7tJdFNvLuFFpIW,NLF712007380
241360,False,Only Wanna Be With You - Pokémon 25 Version,63,spotify:track:3SawmGBjjq8EOYZJV11cJm,spotify:track:3SawmGBjjq8EOYZJV11cJm,USUM72102513
206045,False,Stay Next To Me (with Chelsea Cutler),55,spotify:track:7kTlHVCARylJAqm40yVoWE,spotify:track:7kTlHVCARylJAqm40yVoWE,USSM12006556
153190,False,Ghost,70,spotify:track:5dPz35akJjPqb17yeqNwqH,spotify:track:5dPz35akJjPqb17yeqNwqH,USUM72102635
168118,False,Fake A Smile,55,spotify:track:6rAGFY9D3ah6Lb7fUgbNNH,spotify:track:6rAGFY9D3ah6Lb7fUgbNNH,NOG842102010
204093,False,I GUESS I'M IN LOVE,68,spotify:track:1is8gU4RVcN4J8xItxWoOY,spotify:track:1is8gU4RVcN4J8xItxWoOY,USSM12104467
184505,False,i don't want to watch the world end with someone else,61,spotify:track:58qX77t2VWMWcycsh9zKLc,spotify:track:58qX77t2VWMWcycsh9zKLc,USSM12002186
178799,False,Slow Dance (feat. Ava Max),55,spotify:track:5FNS5Vj69AhRGJWjhrAd01,spotify:track:5FNS5Vj69AhRGJWjhrAd01,USSM11904273
194234,True,Take Care of You,42,spotify:track:7GajHE5z66qqmzTrKVFCab,spotify:track:7GajHE5z66qqmzTrKVFCab,GBAHS2000338
197480,False,nobody else,55,spotify:track:7GLBqDKAJLCLIsj2GEDkSw,spotify:track:7GLBqDKAJLCLIsj2GEDkSw,GBUM72003713
197866,False,Beautiful People (feat. Khalid),69,spotify:track:4evmHXcjt3bTUHD1cvny97,spotify:track:4evmHXcjt3bTUHD1cvny97,GBAHS1900885
167106,False,Hurt Somebody,71,spotify:track:2Zg0aB5oVQlbQE1vzQmIIY,spotify:track:2Zg0aB5oVQlbQE1vzQmIIY,USUM71800031
207653,False,This Can't Be Love,31,spotify:track:5Iw4cSCvs47SbHDjpwkgdq,spotify:track:5Iw4cSCvs47SbHDjpwkgdq,SEYQH1901001
160624,True,jaded,50,spotify:track:6Tt9PBM6oWGwVnxyzuM84j,spotify:track:6Tt9PBM6oWGwVnxyzuM84j,QM42K1816126
202666,True,I Think I'm In Love,65,spotify:track:3U1TuSqHIubBA10cVP7Sk6,spotify:track:3U1TuSqHIubBA10cVP7Sk6,USSM11408712
219040,False,Little Things,70,spotify:track:0TAmnCzOtqRfvA38DDLTjj,spotify:track:0TAmnCzOtqRfvA38DDLTjj,GBHMU1200361
164009,False,Dancing In The Moonlight (feat. NEIMY),73,spotify:track:4GSDkZt7GcmzBWmsMcpaVO,spotify:track:4GSDkZt7GcmzBWmsMcpaVO,UK8E21801201
242827,False,For You (With Rita Ora),64,spotify:track:5rlMVKnvE6ZSzNCs8ZyHqU,spotify:track:5rlMVKnvE6ZSzNCs8ZyHqU,USQ4E1703341
169887,False,Million Ways,51,spotify:track:3wuR0YSNdT9rgWfFi1lctv,spotify:track:3wuR0YSNdT9rgWfFi1lctv,GBUM71902607
225826,False,Kid In Love,43,spotify:track:4Iz171BOalhbOxdlodJSJD,spotify:track:4Iz171BOalhbOxdlodJSJD,USUM71500649
273059,False,In Luv With U,51,spotify:track:40XwcZVS7Oh7VvBuOWrgkk,spotify:track:40XwcZVS7Oh7VvBuOWrgkk,USHM81724377
