artist_uri,isrc
spotify:artist:3IrUyDPQlQFcB5lMWhPml2,DEQ121320114
spotify:artist:5PIdjtNMwJgYituTP77U3X,DEQ121320114
spotify:artist:4eC5xJOgbYjEVsNQuCuzGO,DEQ121320114
spotify:artist:00FQb4jTyendYWaN8pK0wa,GBUM71111620
spotify:artist:6oyGMaD0Kbx3ynXKhzH2wW,DEAE61101079
spotify:artist:3IrUyDPQlQFcB5lMWhPml2,DEQ121320116
spotify:artist:3CJKkU0XuElRT1z8rEtIYg,DEUM71902319
spotify:artist:4WZGDpNwrC0vNQyl9QzF7d,DECE71900621
spotify:artist:6h1s4i4XKIYv4ErDelLDN0,DECE71900621
spotify:artist:6h1s4i4XKIYv4ErDelLDN0,DECE71900354
spotify:artist:4WZGDpNwrC0vNQyl9QzF7d,DECE71900354
spotify:artist:4WZGDpNwrC0vNQyl9QzF7d,DEWS21700044
spotify:artist:5pVRwX5ZQR7hfJ18w8ZYkl,DEWS21700044
spotify:artist:0MZ55DwuMQ1B2TXq9lcrE4,DEUM71104124
spotify:artist:2P7AfQW941UU324qq2ggZf,DEBL61390247
spotify:artist:0tMFcqLXhtm1Gep20iuIR3,DEVX51700002
spotify:artist:0tMFcqLXhtm1Gep20iuIR3,DEVX51700001
spotify:artist:0tMFcqLXhtm1Gep20iuIR3,DELJ81604445
spotify:artist:0tMFcqLXhtm1Gep20iuIR3,DELJ81604442
spotify:artist:5Yo5iU2nf4H41waPl4ZnS1,DEQ321700166
spotify:artist:1EfwyuCzDQpCslZc8C9gkG,DETX41500514
spotify:artist:3rZBkgoRHG8M9jQL0QPNMi,DETX41500514
spotify:artist:2P7AfQW941UU324qq2ggZf,DENU11900005
spotify:artist:2P7AfQW941UU324qq2ggZf,DENU11900002
spotify:artist:20JZFwl6HVl6yg8a4H3ZqK,USAT21801174
spotify:artist:2gTcdmBwgyh3EORKIXCzlw,FR22F1800090
spotify:artist:5PlfkPxwCpRRWQJBxCa0By,FR22F1800090
spotify:artist:1QDrz3DMMaz3TB1cm0PGDu,DEE861806874
spotify:artist:5LHRHt1k9lMyONurDHEdrp,USUYG1208803
spotify:artist:33W1pnW9zScZtYTnAoWnOT,NLB8R1700001
spotify:artist:5AJqTEmjmhzE50PbPvbDah,DEQ121749045
spotify:artist:4sg4no0TXdsrM1s4SVUwNF,DEQ121749045
spotify:artist:4sg4no0TXdsrM1s4SVUwNF,DEVX51900053
spotify:artist:47RPLpnGhBRTjQrRBOev9s,DEVX51900053
spotify:artist:0tMFcqLXhtm1Gep20iuIR3,DEVX51700005
spotify:artist:2nY6SVmLm2AoxYD5ZD8ESz,DEVY81900001
spotify:artist:4sg4no0TXdsrM1s4SVUwNF,DEVY81900001
spotify:artist:3gkbRDj7pkIylWVBpRfrQf,DEVX51800030
spotify:artist:2Im8m4STDBosjfmb5hmP80,DEQ021903445
spotify:artist:3pjq2pDV9RR6VY55wBjVnp,DEWZ11900011
spotify:artist:1EfwyuCzDQpCslZc8C9gkG,DETX41900111
spotify:artist:4WZGDpNwrC0vNQyl9QzF7d,DETX41900111
spotify:artist:4lDiJcOJ2GLCK6p9q5BgfK,DELV41800053
spotify:artist:0Dvx6p8JDyzeOPGmaCIH1L,DELV41800053
spotify:artist:18ISxWwWjV6rPLoVCXf1dz,DEQ121747909
spotify:artist:4WZGDpNwrC0vNQyl9QzF7d,DEFZ71800084
